model_id,organization,author,count,gender
microsoft/resnet-50,microsoft,SFconvertbot,1,bot
microsoft/resnet-50,microsoft,Shubhamai,1,unknown
microsoft/resnet-50,microsoft,amyeroberts,1,female
microsoft/resnet-50,microsoft,nielsr,5,male
microsoft/resnet-50,microsoft,regisss,1,male
microsoft/resnet-50,microsoft,zuppif,3,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,Aamir,2,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,CoralLeiCN,1,unknown
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,RuiTheBaker,1,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,SeanLee97,4,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,Xenova,2,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,aamirshakir,4,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,iamlemec,1,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,jdwh08s,1,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,juliuslipp,14,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,michaelfeil,1,male
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,mixed-nlp,5,unknown
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,tomaarsen,2,male
ml6team/keyphrase-extraction-distilbert-inspec,ml6team,DeDeckerThomas,12,male
ml6team/keyphrase-extraction-distilbert-inspec,ml6team,Thomas De Decker,2,male
modularai/llama-3.1,modularai,jackos,3,male
modularai/llama-3.1,modularai,modularbot,2,bot
moka-ai/m3e-base,moka-ai,Howardxuan,2,unknown
moka-ai/m3e-base,moka-ai,MokaHR,17,unknown
moka-ai/m3e-base,moka-ai,SFconvertbot,1,bot
moka-ai/m3e-base,moka-ai,wangyuxin,14,male
mtg-upf/discogs-maest-30s-pw-129e,mtg-upf,p-alonso,27,male
myshell-ai/MeloTTS-English,myshell-ai,ZenQin,3,male
myshell-ai/MeloTTS-English,myshell-ai,ylacombe,2,male
naver/splade-cocondenser-selfdistil,naver,tformal,9,male
ncbi/MedCPT-Query-Encoder,ncbi,SFconvertbot,1,bot
ncbi/MedCPT-Query-Encoder,ncbi,qiaojin,14,male
nesaorg/benchmark_v0,nesaorg,jamesdslab2,7,male
neulab/codebert-java,neulab,urialon,5,male
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,neuralmagic,Lin-K76,12,male
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,neuralmagic,alexmarques,3,male
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,neuralmagic,mgoin,1,male
nlpconnect/vit-gpt2-image-captioning,nlpconnect,ankur310794,11,male
nlpconnect/vit-gpt2-image-captioning,nlpconnect,commonslash,1,unknown
nlpconnect/vit-gpt2-image-captioning,nlpconnect,itsog,1,male
nlpconnect/vit-gpt2-image-captioning,nlpconnect,nielsr,2,male
nlpconnect/vit-gpt2-image-captioning,nlpconnect,system,1,bot
nlpconnect/vit-gpt2-image-captioning,nlpconnect,vishank97,1,male
nomic-ai/nomic-embed-text-v1.5,nomic-ai,MaxNomic,1,male
nomic-ai/nomic-embed-text-v1.5,nomic-ai,Xenova,3,male
nomic-ai/nomic-embed-text-v1.5,nomic-ai,michaelfeil,2,male
nomic-ai/nomic-embed-text-v1.5,nomic-ai,zpn,28,male
ntu-spml/distilhubert,ntu-spml,SFconvertbot,1,bot
ntu-spml/distilhubert,ntu-spml,anton-l,2,male
ntu-spml/distilhubert,ntu-spml,patrickvonplaten,1,male
ntu-spml/distilhubert,ntu-spml,speech-test,3,male
ntu-spml/distilhubert,ntu-spml,system,1,bot
ntu-spml/distilhubert,ntu-spml,voidful,1,male
numind/NuNER_Zero,numind,Serega6678,24,male
numind/NuNER_Zero,numind,etiennebcp,12,male
nvidia/speakerverification_en_titanet_large,nvidia,nithinraok,14,male
nvidia/speakerverification_en_titanet_large,nvidia,smajumdar94,3,male
obi/deid_roberta_i2b2,obi,prajwal967,4,male
obi/deid_roberta_i2b2,obi,system,2,bot
openai-community/gpt2,openai-community,Narsil,1,male
openai-community/gpt2,openai-community,fxmarty,1,male
openai-community/gpt2,openai-community,joaogante,2,male
openai-community/gpt2,openai-community,julien-c,4,male
openai-community/gpt2,openai-community,lysandre,1,male
openai-community/gpt2,openai-community,mathemakitten,1,female
openai-community/gpt2,openai-community,patrickvonplaten,2,male
openai-community/gpt2,openai-community,sgugger,2,male
openai-community/gpt2,openai-community,system,15,bot
openai/clip-vit-large-patch14,openai,SFconvertbot,1,bot
openai/clip-vit-large-patch14,openai,SaulLu,1,female
openai/clip-vit-large-patch14,openai,arda13olmez,1,male
openai/clip-vit-large-patch14,openai,julien-c,1,male
openai/clip-vit-large-patch14,openai,lysandre,1,male
openai/clip-vit-large-patch14,openai,mishig,1,male
openai/clip-vit-large-patch14,openai,patrickvonplaten,1,male
openai/clip-vit-large-patch14,openai,system,1,bot
openai/clip-vit-large-patch14,openai,valhalla,6,male
openart-custom/AlbedoBase,openart-custom,Icar,2,male
openlm-research/open_llama_3b_v2,openlm-research,young-geng,3,male
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,opensearch-project,SFconvertbot,1,bot
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,opensearch-project,zhichao-geng,12,male
optimum-internal-testing/tiny-random-llama,optimum-internal-testing,echarlaix,2,female
owkin/phikon,owkin,1aurent,1,male
owkin/phikon,owkin,EazyAl,9,male
owkin/phikon,owkin,afiliot,18,male
peft-internal-testing/tiny-dummy-qwen2,peft-internal-testing,BenjaminB,3,male
prs-eth/marigold-normals-lcm-v0-1,prs-eth,KevinQu7,2,male
prs-eth/marigold-normals-lcm-v0-1,prs-eth,toshas,9,male
pysentimiento/robertuito-sentiment-analysis,pysentimiento,SFconvertbot,1,bot
pysentimiento/robertuito-sentiment-analysis,pysentimiento,finiteautomata,14,male
pysentimiento/robertuito-sentiment-analysis,pysentimiento,joaogante,1,male
pysentimiento/robertuito-sentiment-analysis,pysentimiento,system,1,bot
reazon-research/reazonspeech-nemo-v2,reazon-research,fujimotos,3,male
rinna/japanese-cloob-vit-b-16,rinna,SFconvertbot,1,bot
rinna/japanese-cloob-vit-b-16,rinna,keisawada,3,male
rinna/japanese-cloob-vit-b-16,rinna,mkshing,13,unknown
s-nlp/roberta_toxicity_classifier,s-nlp,dardem,10,female
s-nlp/roberta_toxicity_classifier,s-nlp,etomoscow,3,male
s-nlp/roberta_toxicity_classifier,s-nlp,system,1,bot
sentence-transformers-testing/stsb-bert-tiny-safetensors,sentence-transformers-testing,tomaarsen,5,male
sentence-transformers/all-mpnet-base-v2,sentence-transformers,SFconvertbot,1,bot
sentence-transformers/all-mpnet-base-v2,sentence-transformers,espejelomar,7,male
sentence-transformers/all-mpnet-base-v2,sentence-transformers,nreimers,4,male
sentence-transformers/all-mpnet-base-v2,sentence-transformers,system,1,bot
sentence-transformers/all-mpnet-base-v2,sentence-transformers,tomaarsen,15,male
shi-labs/oneformer_coco_swin_large,shi-labs,nielsr,1,male
shi-labs/oneformer_coco_swin_large,shi-labs,praeclarumjj3,22,male
smallcloudai/Refact-1_6B-fim,smallcloudai,SFconvertbot,1,bot
smallcloudai/Refact-1_6B-fim,smallcloudai,katek,2,female
smallcloudai/Refact-1_6B-fim,smallcloudai,mityasmc,1,male
smallcloudai/Refact-1_6B-fim,smallcloudai,olegklimov,1,male
smallcloudai/Refact-1_6B-fim,smallcloudai,svakhreev,30,male
solidrust/Codestral-22B-v0.1-hf-AWQ,solidrust,Suparious,5,male
speechbrain/spkrec-ecapa-voxceleb,speechbrain,Adel-Moumen,2,male
speechbrain/spkrec-ecapa-voxceleb,speechbrain,Gastron,1,male
speechbrain/spkrec-ecapa-voxceleb,speechbrain,Mirco,6,male
speechbrain/spkrec-ecapa-voxceleb,speechbrain,Titouan,1,male
speechbrain/spkrec-ecapa-voxceleb,speechbrain,cemsubakan,1,male
speechbrain/spkrec-ecapa-voxceleb,speechbrain,mirco,5,male
speechbrain/spkrec-ecapa-voxceleb,speechbrain,mishig,1,male
speechbrain/spkrec-ecapa-voxceleb,speechbrain,osanseviero,4,male
speechbrain/spkrec-ecapa-voxceleb,speechbrain,speechbrainteam,21,unknown
speechbrain/spkrec-ecapa-voxceleb,speechbrain,system,1,bot
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,MysteryGuitarMan,2,male
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,PipFoweraker,1,unknown
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,Robin Rombach,3,male
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,echarlaix,4,female
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,multimodalart,4,unknown
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,patrickvonplaten,9,male
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,rromb,13,male
stable-diffusion-v1-5/stable-diffusion-inpainting,stable-diffusion-v1-5,sd-legacy,1,unknown
stablediffusionapi/realistic-vision-51,stablediffusionapi,adhikjoshi,2,male
stepfun-ai/GOT-OCR2_0,stepfun-ai,ucaslcl,91,female
tasksource/deberta-small-long-nli,tasksource,sileod,14,male
tencent/DepthCrafter,tencent,sdsdsdadasd3,1,unknown
tencent/DepthCrafter,tencent,wbhu-tc,3,male
tiiuae/falcon-7b-instruct,tiiuae,Daniel Hesslow,8,male
tiiuae/falcon-7b-instruct,tiiuae,DanielHesslow,1,male
tiiuae/falcon-7b-instruct,tiiuae,FalconLLM,12,unknown
tiiuae/falcon-7b-instruct,tiiuae,Rocketknight1,1,male
tiiuae/falcon-7b-instruct,tiiuae,SFconvertbot,1,bot
tiiuae/falcon-7b-instruct,tiiuae,epignatelli,1,male
tiiuae/falcon-7b-instruct,tiiuae,julien-c,1,male
tiiuae/falcon-7b-instruct,tiiuae,nilabhra,1,male
tiiuae/falcon-7b-instruct,tiiuae,olivierdehaene,1,male
tiiuae/falcon-7b-instruct,tiiuae,pcuenq,1,male
tiiuae/falcon-7b-instruct,tiiuae,sgugger,1,male
tiiuae/falcon-7b-instruct,tiiuae,slippylolo,5,male
tiiuae/falcon-7b-instruct,tiiuae,victor,1,male
tiiuae/falcon-7b-instruct,tiiuae,ybelkada,2,male
timm/resnet50.a1_in1k,timm,rwightman,3,male
tner/roberta-large-ontonotes5,tner,asahi417,8,male
tohoku-nlp/bert-base-japanese,tohoku-nlp,Julien Chaumond,1,male
tohoku-nlp/bert-base-japanese,tohoku-nlp,Thomas Wolf,1,male
tohoku-nlp/bert-base-japanese,tohoku-nlp,cl-tohoku,2,unknown
tohoku-nlp/bert-base-japanese,tohoku-nlp,elishowk,1,male
tohoku-nlp/bert-base-japanese,tohoku-nlp,lysandre,1,male
tohoku-nlp/bert-base-japanese,tohoku-nlp,patrickvonplaten,2,male
tohoku-nlp/bert-base-japanese,tohoku-nlp,singletongue,1,male
tohoku-nlp/bert-base-japanese,tohoku-nlp,system,6,bot
trl-internal-testing/tiny-random-LlamaForCausalLM,trl-internal-testing,SFconvertbot,1,bot
trl-internal-testing/tiny-random-LlamaForCausalLM,trl-internal-testing,Younes Belkada,1,male
trl-internal-testing/tiny-random-LlamaForCausalLM,trl-internal-testing,ybelkada,5,male
ufal/robeczech-base,ufal,Milan Straka,9,male
ufal/robeczech-base,ufal,SFconvertbot,1,bot
ufal/robeczech-base,ufal,foxik,9,male
ufal/robeczech-base,ufal,nazneen,1,female
ufal/robeczech-base,ufal,system,1,bot
unsloth/llama-3-8b-bnb-4bit,unsloth,danielhanchen,66,male
unsloth/llama-3-8b-bnb-4bit,unsloth,shimmyshimmer,7,male
unsloth/llama-3-8b-bnb-4bit,unsloth,xianbao,1,male
unslothai/1,unslothai,danielhanchen,5,male
vectara/hallucination_evaluation_model,vectara,Forrest Bao,4,male
vectara/hallucination_evaluation_model,vectara,Miaoran000,4,female
vectara/hallucination_evaluation_model,vectara,adrien357,1,male
vectara/hallucination_evaluation_model,vectara,eskibars,2,male
vectara/hallucination_evaluation_model,vectara,forrest-vectara,4,male
vectara/hallucination_evaluation_model,vectara,minseokbae,2,male
vectara/hallucination_evaluation_model,vectara,ofermend,16,male
vectara/hallucination_evaluation_model,vectara,simonhughes22,25,male
vinai/phobert-base-v2,vinai,dqnguyen,6,male
xlnet/xlnet-base-cased,xlnet,joaogante,1,male
xlnet/xlnet-base-cased,xlnet,julien-c,1,male
xlnet/xlnet-base-cased,xlnet,nielsr,3,male
xlnet/xlnet-base-cased,xlnet,system,12,bot
